University,Country,Total Score,Setting & Infrastructure,Energy & Climate Change,Waste,Water,Transportation,Education & Research,Rank,Year
Universidad de Alcala,Spain,6685,776,1343,1599,700,1119,1148,26,2016
Dublin City University,Ireland,6668,835,986,1800,648,1145,1254,27,2016
Universitat de Valencia,Spain,6594,751,1031,1476,775,965,1596,28,2016
Washington University Saint Louis,USA,6579,814,1122,1476,925,1126,1116,29,2016
University of Ottawa,Canada,6572,783,1059,1575,925,1121,1109,30,2016
University of Indonesia,Indonesia,6571,1006,973,1452,725,1034,1381,31,2016
Universitat Bremen,Germany,6563,712,986,1650,690,1251,1274,32,2016
Kyoto University,Japan,6544,954,929,1650,650,1298,1063,33,2016
Universiti Putra Malaysia,Malaysia,6543,1319,1090,1551,363,886,1334,34,2016
University of Northern British Columbia,Canada,6542,1170,1044,1650,675,892,1111,35,2016
North Carolina Agricultural & Technical State University,USA,6538,1303,835,1275,548,1031,1546,36,2016
National Pingtung University of Science & Technology,Taiwan,6435,1146,720,825,775,1169,1800,37,2016
Universidade Federal de Lavras UFLA,Brazil,6422,1098,1139,1125,745,1040,1275,38,2016
University of Leicester,UK,6419,914,1238,1425,875,983,984,39,2016
Western Michigan University,USA,6387,1163,1256,1326,775,1002,865,40,2016
Universidad Nacional Autonoma de Mexico,Mexico,6387,1072,1194,1350,583,1064,1124,41,2016
University of Tasmania,Australia,6379,926,1061,1224,797,969,1402,42,2016
Institut Teknologi Sepuluh Nopember,Indonesia,6370,965,1162,948,925,1047,1323,43,2016
Universiti Malaysia Sabah,Malaysia,6368,1202,994,1200,700,976,1296,44,2016
Universidad Nacional de Colombia,Colombia,6354,947,1013,1251,592,1142,1409,45,2016
King Abdulaziz University,Saudi Arabia,6332,837,744,1650,909,881,1311,46,2016
Universidad Autonoma de Madrid,Spain,6323,1086,1261,1326,525,1011,1114,47,2016
Da-Yeh University,Taiwan,6311,820,930,1575,725,949,1312,48,2016
McMaster University,Canada,6310,789,1036,1650,725,1353,757,49,2016
De La Salle University – Dasmarinas,Philippines,6285,774,1155,1701,733,568,1354,50,2016
National Chi Nan University,Taiwan,6258,1080,1229,1452,300,1179,1018,51,2016
Kafrelsheikh University,Egypt,6254,913,1137,1299,810,1053,1042,52,2016
Aalborg University,Denmark,6236,809,955,1425,700,1270,1077,53,2016
Universiti Utara Malaysia,Malaysia,6217,1008,958,1050,660,1168,1373,54,2016
Universidad del Rosario,Colombia,6201,252,1184,1500,775,1266,1224,55,2016
York University,Canada,6185,999,833,1302,800,1321,930,56,2016
Bogor Agricultural University,Indonesia,6173,1124,900,1299,502,1110,1238,57,2016
Universiti Malaysia Pahang,Malaysia,6168,1220,943,975,690,955,1385,58,2016
Universitat de Barcelona,Spain,6125,755,929,1650,682,1160,949,59,2016
Carleton University,Canada,6115,687,822,1575,600,1187,1244,60,2016
Indiana University Bloomington,USA,6102,988,940,1326,650,1179,1019,61,2016
Manchester Metropolitan University,UK,6061,739,1018,1326,750,1016,1212,62,2016
University of Kent,UK,6048,1019,1132,1575,650,1126,546,63,2016
Universita Ca Foscari Venezia,Italy,6041,594,1158,1101,650,1351,1187,64,2016
Sumy State University,Ukraine,6039,1274,747,1551,400,1056,1011,65,2016
University of Sussex,UK,6020,980,985,1626,748,1112,569,66,2016
University of California Merced,USA,5998,964,1116,1575,675,1123,545,67,2016
University of Malaya,Malaysia,5996,1147,772,1125,575,1154,1222,68,2016
Diponegoro University,Indonesia,5995,910,1072,1200,545,863,1405,69,2016
Mahidol University,Thailand,5992,928,1077,1251,485,1345,906,70,2016
Universita di Bologna,Italy,5989,805,981,1401,725,1087,990,71,2016
Universidad de Oviedo,Spain,5988,964,830,1476,445,865,1408,72,2016
Osaka University,Japan,5983,989,851,1650,725,900,867,73,2016
Northeastern University,USA,5980,517,1111,1527,625,1083,1117,74,2016
University of Zanjan,Iran,5971,1250,610,975,655,1029,1452,75,2016
Universitas Sebelas Maret,Indonesia,5960,875,925,1152,655,1158,1195,76,2016
Universidad Autonoma de Nuevo Leon,Mexico,5950,1113,967,1452,474,753,1191,77,2016
Universidad Rey Juan Carlos,Spain,5945,839,1033,1500,536,906,1131,78,2016
Universitat Jaume I de Castellon,Spain,5937,919,869,1326,775,976,1071,79,2016
University of Jordan,Jordan,5909,1181,1026,1575,434,966,727,80,2016
Ben Gurion University of the Negev,Israel,5885,841,860,1500,610,668,1406,81,2016
University of Westminster,UK,5884,871,968,1251,725,1204,865,82,2016
Nanhua University Taiwan,Taiwan,5883,882,989,1800,767,757,688,83,2016
Universita di Torino,Italy,5879,827,1198,1251,595,958,1050,84,2016
Universiti Teknologi Malaysia,Malaysia,5866,1366,821,798,690,820,1371,85,2016
Czech University of Life Sciences Prague,Czech,5824,610,1237,1374,700,924,979,86,2016
Universitat Luzern,Switzerland,5817,467,1236,1650,800,1414,250,87,2016
Concordia University Montreal,Canada,5805,833,914,1251,600,1173,1034,88,2016
Goldsmiths University of London,UK,5787,483,1242,1725,520,930,887,89,2016
Edge Hill University,UK,5769,821,999,1224,600,962,1163,90,2016
National Taipei University of Technology,Taiwan,5764,1165,1026,975,563,503,1532,91,2016
University of Lincoln,UK,5764,854,1369,1575,500,919,547,92,2016
University of Massachusetts Amherst,USA,5758,943,685,1500,550,1174,905,93,2016
University of Dundee,UK,5743,753,950,1626,350,1127,937,94,2016
Universitas Negeri Semarang,Indonesia,5738,1137,915,873,310,1008,1495,95,2016
Universitat de Girona,Spain,5725,381,1254,1401,395,1079,1215,96,2016
Jordan University of Science & Technology,Jordan,5725,1115,1159,924,775,915,837,97,2016
Yamaguchi University,Japan,5719,859,978,1551,750,1154,427,98,2016
Fachhochschule Trier,Germany,5684,778,916,1500,470,1107,913,99,2016
University at Albany,USA,5683,716,1025,1452,700,885,905,100,2016
University of York,UK,5679,925,682,1650,370,1108,944,101,2016
Suranaree University of Technology,Thailand,5678,1301,961,798,320,731,1567,102,2016
Princess Nourah University,Saudi Arabia,5670,803,916,1551,775,1240,385,103,2016
American University in Cairo,Egypt,5661,871,1572,1026,650,1158,384,104,2016
Universite Joseph Fourier Grenoble 1,France,5658,744,925,1152,611,1074,1152,105,2016
Rochester Institute of Technology,USA,5649,1140,976,1101,548,1006,878,106,2016
University of Szeged,Hungary,5647,1216,847,1275,850,1079,380,107,2016
University of Louisiana at Lafayette,USA,5640,1100,866,1251,520,1101,802,108,2016
Chulalongkorn University,Thailand,5638,858,846,1101,470,1200,1163,109,2016
Politecnico di Milano,Italy,5628,698,720,1626,380,1046,1158,110,2016
Webster University,USA,5621,1076,877,1425,730,1075,438,111,2016
Naresuan University,Thailand,5619,1027,759,1026,525,1202,1080,112,2016
Northwest Missouri State University,USA,5616,1077,1060,1500,475,922,582,113,2016
University of Eastern Finland,Finlandia,5612,779,807,1575,500,949,1002,114,2016
Peoples Friendship University of Russia,Russia,5593,1169,830,1125,650,1089,730,115,2016
Chaoyang University of Technology,Taiwan,5588,570,1054,1527,720,912,805,116,2016
An-Najah National University,Palestine,5568,784,1296,1002,605,849,1032,117,2016
Universidad Politecnica de Valencia,Spain,5563,215,1092,1551,400,1167,1138,118,2016
Brawijaya University,Indonesia,5562,939,1306,798,540,659,1320,119,2016
Universidad de la Punta,Argentina,5552,1019,950,1650,220,943,770,120,2016
Liverpool John Moores University,UK,5517,771,938,1251,750,1109,698,121,2016
King Mongkut University of Technology Thonburi,Thailand,5515,828,657,1149,256,1266,1359,122,2016
Aix Marseille University,France,5512,900,895,1026,450,660,1581,123,2016
University of Reading,UK,5489,727,949,1425,600,863,925,124,2016
Mae Fah Luang University,Thailand,5483,1118,962,798,800,673,1132,125,2016
University of Bath,UK,5454,1075,1268,1200,625,730,556,126,2016
Universidad de Castilla la Mancha,Spain,5444,812,930,1077,530,865,1230,127,2016
Slippery Rock University,USA,5444,943,1138,1200,475,835,852,128,2016
University of Bayreuth,Germany,5436,684,780,1326,405,1101,1140,129,2016
Technische Universitat Wien,Austria,5431,692,990,1149,650,1100,850,130,2016
Gordon College,USA,5430,862,1092,1476,500,866,633,131,2016
Universidad de Navarra,Spain,5422,731,1048,1452,550,976,665,132,2016
Asia University Taiwan,Taiwan,5395,889,1118,1149,440,718,1081,133,2016
Yuan Ze University,Taiwan,5389,655,807,1302,650,1054,921,134,2016
Riga Technical University,Latvia,5389,768,1403,1302,420,1035,461,135,2016
Kasetsart University,Thailand,5377,896,626,825,400,1188,1442,136,2016
Brandenburgische Technische Universitat Cottbus – Senftenberg,Germany,5374,900,1209,1176,450,766,873,137,2016
Technische Hochschule Deggendorf,Germany,5372,608,1318,1476,280,1244,446,138,2016
Universidade Federal de Vicosa,Brazil,5352,953,856,849,486,555,1653,139,2016
Tel Aviv University,Israel,5347,785,948,1152,485,1137,840,140,2016
University of California Riverside,USA,5346,704,958,1626,650,950,458,141,2016
Politecnico di Torino,Italy,5345,484,1207,1401,475,838,940,142,2016
Universitas Padjadjaran,Indonesia,5341,705,852,1476,630,957,721,143,2016
Voronezh State University,Russia,5335,580,812,1476,525,1101,841,144,2016
Universidad de los Andes Colombia,Colombia,5325,590,893,1302,531,1270,739,145,2016
Purchase College SUNY,USA,5324,1148,1196,1251,300,771,658,146,2016
Uman National University of Horticulture,Ukraine,5318,1251,1330,774,550,576,837,147,2016
University of Lodz,Poland,5317,681,700,1149,270,1187,1330,148,2016
universidade da coruna,Spain,5310,576,926,1326,375,824,1283,149,2016
Anglia Ruskin University,UK,5302,710,1005,1500,500,1056,531,150,2016
Institute of Technology Bandung,Indonesia,5294,907,826,1500,350,704,1007,151,2016
Virginia Commonwealth University,USA,5281,491,1106,1302,700,1242,440,152,2016
Universidad Autonoma Metropolitana,Mexico,5274,915,658,1074,559,828,1240,153,2016
Universidad Autonoma de Occidente,Colombia,5271,625,1108,1425,600,570,943,154,2016
East Stroudsburg University,USA,5233,1045,1041,1551,595,771,230,155,2016
Ton Duc Thang University,Vietnam,5227,615,1027,1275,350,1063,897,156,2016
PONTIFICAL CATHOLIC UNIVERSITY OF RIO DE JANEIRO,Brazil,5221,926,365,1401,390,1070,1069,157,2016
Thammasat University,Thailand,5209,946,505,948,584,1076,1150,158,2016
Oranim College of Education,Israel,5203,837,844,1425,700,751,646,159,2016
Universiti Kebangsaan Malaysia (National University of Malaysia),Malaysia,5197,1072,600,1302,295,861,1067,160,2016
University of San Francisco,USA,5195,540,749,1425,670,908,903,161,2016
University of Ioannina,Greece,5191,1187,989,1551,165,757,542,162,2016
Escuela Superior Politecnica del Litoral,Ecuador,5186,968,894,1101,490,994,739,163,2016
ITESO Universidad Jesuita de Guadalajara / ITESO The Jesuit University of Guadalajara,Mexico,5176,792,781,1326,716,817,744,164,2016
Tomsk Polytechnic University,Russia,5173,940,940,648,360,955,1330,165,2016
Mahasarakham University,Thailand,5162,1237,656,573,320,1016,1360,166,2016
Universitas Andalas,Indonesia,5156,927,964,798,350,856,1261,167,2016
Universidad del Norte Barranquilla,Colombia,5146,882,652,1500,600,451,1061,168,2016
Southern Methodist University,USA,5146,1105,955,774,510,852,950,169,2016
University of Agriculture Faisalabad,Pakistan,5129,790,1108,474,320,872,1565,170,2016
I-Shou University,Taiwan,5123,564,852,1701,575,1096,335,171,2016
Telkom University,Indonesia,5123,874,904,1500,350,771,724,172,2016
Silpakorn University,Thailand,5116,564,870,1074,577,1226,804,173,2016
Universitas Islam Indonesia,Indonesia,5112,1031,1070,1200,365,955,491,174,2016
Aalto University,Finland,5067,7,914,1800,600,800,946,175,2016
Universidad de Ciencias Aplicadas y Ambientales UDCA,Colombia,5061,864,825,1476,498,684,714,176,2016
Universidad Tecnologica de Pereira,Colombia,5054,647,865,1401,570,556,1014,177,2016
Providence University,Taiwan,5042,1017,630,1050,525,702,1118,178,2016
Inseec Business Group,France,5035,108,664,1650,625,749,1239,179,2016
Tampere University of Technology,Finland,5020,318,818,1575,700,941,668,180,2016
Appalachian State University,USA,5004,762,593,1350,285,973,1040,181,2016
National Yunlin University of Science & Technology,Taiwan,4994,837,834,900,374,749,1300,182,2016
Wentworth Institute of Technology,USA,4992,709,972,1152,476,971,712,183,2016
Tecnologico de Monterrey,Mexico,4985,773,1084,825,495,1134,674,184,2016
Russian State Pedagogical University AI Herzen (Gertsenovsky University),Russia,4966,926,619,1026,370,1056,969,185,2016
Teesside University,UK,4961,461,935,1125,700,1007,733,186,2016
University of Ontario Institute of Technology,Canada,4949,595,1022,1200,970,554,608,187,2016
Universita Iuav di Venezia,Italy,4910,667,562,1452,330,1251,648,188,2016
Stevens Institute of Technology,USA,4908,605,890,1551,400,912,550,189,2016
Maynooth University,Ireland,4891,831,869,1326,415,695,755,190,2016
Universitat de Vic,Spain,4885,328,1141,1575,462,572,807,191,2016
University of Hertfordshire,UK,4874,723,703,1500,575,983,390,192,2016
University of the West Indies Mona Jamaica,Trinidad Tobago,4871,802,673,675,775,812,1134,193,2016
National Chung Hsing University,Taiwan,4860,882,591,1551,172,713,951,194,2016
Bulent Ecevit University (Zonguldak Karaelmas University),Turkey,4839,983,836,975,600,950,495,195,2016
University of North Carolina at Greensboro,USA,4831,898,821,1101,370,919,721,196,2016
Escuela Agricola Panamericana Zamorano,Honduras,4823,1045,801,1050,288,966,673,197,2016
Al-Farabi Kazakh National University,Kazakhstan,4822,1062,765,750,384,805,1056,198,2016
King Mongkut University of Technology North Bangkok,Thailand,4819,1132,856,798,202,1062,769,199,2016
Institute for Financial Management and Research,India,4803,909,1250,1425,636,402,181,201,2016
West Texas A&M University,USA,4796,452,832,1401,800,840,471,202,2016
University of Maribor,Slovenia,4795,428,978,1302,384,846,857,203,2016
University of Arid Agriculture Rawalpindi,Pakistan,4789,957,955,975,425,655,822,204,2016
University of Central Florida,USA,4784,958,880,951,530,1005,460,205,2016
University of Maryland Eastern Shore,USA,4781,1091,1142,951,380,810,407,206,2016
University of North Texas,USA,4773,920,461,1176,255,882,1079,207,2016
Universidad EAFIT,Colombia,4766,538,617,1476,400,906,829,208,2016
Federal University of Sao Carlos,Brazil,4766,1128,734,1326,375,751,452,209,2016
Moscow State Institute of International Relations,Russia,4753,636,776,1152,450,1002,737,210,2016
National Institute of Technology Hamirpur,India,4739,998,604,1326,630,808,373,211,2016
Radboud University,Netherland,4723,735,475,1251,275,851,1136,212,2016
Manipal University,India,4715,813,734,1326,850,753,239,213,2016
Universitas Bengkulu,Indonesia,4671,1110,959,825,255,451,1071,214,2016
Gorno Altaisk State University,Russia,4669,672,680,1227,245,960,885,215,2016
University of North Carolina Wilmington,USA,4658,646,850,1002,750,1112,298,216,2016
"Instituto Federal de Educacao, Ciencia e Tecnologia do Sul de Minas Gerais",Brazil,4654,1216,1060,648,380,554,796,217,2016
Universidad de Valladolid,Spain,4639,522,721,1251,460,1125,560,218,2016
University of Illinois Springfield,USA,4636,869,950,1227,270,968,352,219,2016
Illinois State University,USA,4634,816,857,1101,275,1051,534,220,2016
University of Petra,Jordan,4631,839,1193,849,525,650,575,221,2016
Universita degli Studi di Brescia,Italy,4610,657,808,1074,375,1079,617,222,2016
Technische Universitat Bergakademie Freiberg,Germany,4605,838,568,1350,445,701,703,223,2016
Rider University,USA,4604,912,1211,1101,145,738,497,224,2016
Bangkok University,Thailand,4604,976,986,1050,234,613,745,225,2016
University of Alabama Birmingham,USA,4597,605,656,852,711,915,858,226,2016
Universite de Versailles Saint Quentin en Yvelines,France,4597,742,672,999,295,837,1052,227,2016
University of Cyprus,Cyprus,4595,983,888,1149,410,602,563,228,2016
Dublin Institute of Technology,Ireland,4564,299,802,1101,525,962,875,229,2016
Universidad de Salamanca,Spain,4537,482,860,1149,445,1067,534,230,2016
Universitas Riau,Indonesia,4532,907,1083,798,250,701,793,231,2016
Pontificia Universidad Catolica del Peru,Peru,4529,720,813,849,405,960,782,232,2016
Sabanci University,Turkey,4511,1077,1085,675,565,770,339,233,2016
Universidade de Santiago de Compostela,Spain,4498,432,491,1251,208,840,1276,234,2016
Maejo University,Thailand,4495,1236,868,573,220,465,1133,235,2016
Al-Balqa Applied University,Jordan,4494,1146,935,525,340,849,699,236,2016
Universidad de Bogota Jorge Tadeo Lozano,Colombia,4489,645,880,1077,200,715,972,237,2016
Ferdowsi University of Mashhad,Iran,4484,853,1027,975,210,1053,366,238,2016
Kobe University,Japan,4478,649,965,1050,450,604,760,239,2016
University of Lahore,Pakistan,4476,822,1139,927,320,967,301,240,2016
Loyola Marymount University,USA,4476,552,1014,1275,525,586,524,241,2016
University of Bahrain,Bahrain,4475,969,581,999,340,773,813,242,2016
Rajabhat Maha Sarakham University,Thailand,4469,567,819,873,455,1133,622,243,2016
Eotvos Lorand University,Hungary,4465,519,370,1476,120,837,1143,244,2016
Pontificia Universidade Catolica do Rio Grande do Sul,Brazil,4452,868,702,951,382,787,762,245,2016
Universidad Icesi,Colombia,4449,835,754,1074,230,859,697,246,2016
Universidad de Las Palmas de Gran Canaria,Spain,4444,887,687,1251,75,651,893,247,2016
Universidad de Granada,Spain,4443,427,674,1200,300,736,1106,248,2016
Southern Utah University,USA,4437,191,602,1401,598,916,729,249,2016
Universitat Rovira i Virgili,Spain,4434,775,759,1227,290,559,824,250,2016
Perm National Research Polytechnic University,Russia,4434,767,1120,1050,120,605,772,251,2016
Universitas Mataram,Indonesia,4434,986,1084,1125,300,603,336,252,2016
University of Kelaniya,Sri Lanka,4429,496,940,1077,475,625,816,253,2016
University of Alabama Huntsville,USA,4414,807,785,951,660,620,591,254,2016
Universita degli Studi Roma Tre,Italy,4410,477,1122,825,410,761,815,255,2016
Far Eastern Federal University,Russia,4376,689,578,900,625,970,614,256,2016
Petrozavodsk State University,Russia,4371,577,730,1077,380,910,697,257,2016
Shepherd University,USA,4370,961,758,1101,280,817,453,258,2016
Bogazici University,Turkey,4366,753,711,801,350,966,785,259,2016
Universidad Miguel Hernandez,Spain,4361,820,567,1224,10,913,827,260,2016
Ubon Ratchathani Rajabhat University,Thailand,4354,1048,1100,798,260,460,688,261,2016
Universidad de Alicante,Spain,4351,171,682,1275,407,977,839,262,2016
Universidad de Zaragoza,Spain,4338,664,947,900,271,560,996,263,2016
Soochow University Taiwan,Taiwan,4337,379,574,1401,500,1002,481,264,2016
National Cheng Kung University,Taiwan,4334,787,682,1023,485,644,713,265,2016
Nanzan University,Japan,4333,628,835,1251,340,889,390,266,2016
Norwegian University of Science And Technology,Norwegia,4329,650,673,1551,100,801,554,267,2016
Dibrugarh University,India,4324,1173,826,723,310,691,601,268,2016
Universiti Teknikal Malaysia Melaka,Malaysia,4301,1141,745,750,255,941,469,269,2016
Ariel University,Israel,4295,809,536,1275,320,1010,345,270,2016
TOBB University of Economics and Technology,Turkey,4284,599,777,975,360,951,622,271,2016
Central Connecticut State University,USA,4284,643,837,1101,305,1001,397,272,2016
Federal State BudjetaryEducation of Higher Education,Russia,4280,698,625,1401,485,805,266,273,2016
Universiti Tunku Abdul Rahman,Malaysia,4270,845,577,573,320,768,1187,274,2016
ABV-Indian Institute of Information Technology and Management Gwalior,India,4263,1166,641,723,380,851,502,275,2016
Universidad El Bosque,Colombia,4233,565,1024,549,725,745,625,276,2016
National Dong Hwa University,Taiwan,4227,1150,508,999,340,1052,178,277,2016
Universidade de Sao Paulo,Brazil,4220,529,523,876,520,847,925,278,2016
Universidad Autonoma del Estado de Hidalgo,Mexico,4220,615,642,1251,344,828,540,279,2016
Rajabhat Rambhai Bhanni University,Thailand,4219,842,394,1152,501,784,545,280,2016
Universidad de Santander,Colombia,4213,768,719,1326,270,658,472,281,2016
Universitas Multimedia Nusantara,Indonesia,4207,894,814,849,705,856,89,282,2016
University of the South Pacific,Fiji,4205,964,864,648,275,702,752,283,2016
Ozyegin University,Turkey,4204,867,658,501,675,827,676,284,2016
University of the Arts London,UK,4192,117,997,1101,375,908,694,285,2016
Altai State University,Russia,4177,698,918,1002,530,350,679,286,2016
Universitat Duisburg Essen,Germany,4164,561,301,1275,400,861,766,287,2016
London School of Hygiene & Tropical Medicine,UK,4163,168,588,1350,320,993,744,288,2016
Universidade de Coimbra,Portugal,4162,988,791,876,375,699,433,289,2016
CUNY Brooklyn College,USA,4160,656,365,1176,550,905,508,290,2016
Bowie State University,USA,4145,875,748,825,380,852,465,291,2016
Indian Institute of Technology Madras,India,4117,826,680,1050,249,953,359,292,2016
Daugavpils University,Latvia,4116,796,931,900,160,862,467,293,2016
Ming Chi University of Technology,Taiwan,4100,784,479,1050,350,799,638,294,2016
Okayama University,Japan,4096,1131,683,975,400,701,206,295,2016
School of Oriental and African Studies University of London,UK,4094,125,787,1350,325,983,524,296,2016
Centro Universitario do Rio Grande do Norte,Brazil,4089,396,703,1227,425,642,695,297,2016
National Chiao Tung University,Taiwan,4089,557,499,924,569,1095,444,298,2016
Taipei Medical University,Taiwan,4088,768,524,1227,340,688,541,299,2016
Universitas Lampung,Indonesia,4082,808,505,723,515,452,1079,300,2016
Chiba University,Japan,4082,814,503,1077,481,549,658,301,2016
Covenant University Ota,Nigeria,4072,817,702,1077,200,667,609,302,2016
University of Pardubice,Czech,4063,911,718,1302,230,535,367,303,2016
Hitit University,Turkey,4061,781,918,423,330,803,806,304,2016
Winthrop University,USA,4058,1019,720,750,350,774,445,305,2016
National Institute of Technology Karnataka,India,4029,993,803,723,375,1072,63,306,2016
University of Tokushima,Japan,4027,805,656,798,370,710,687,307,2016
Birkbeck University of London,UK,4022,42,822,1350,320,958,530,308,2016
Mutah University,Jordan,4012,672,348,774,535,1123,560,309,2016
Unitec New Zealand,New Zealand,3995,741,488,1002,215,844,704,310,2016
University of Debrecen,Hungary,3994,789,407,1050,265,730,753,311,2016
Glasgow Caledonian University,UK,3994,371,684,1575,370,559,435,312,2016
Blekinge Institute of Technology,Sweden,3974,635,1018,1101,400,664,156,313,2016
Karl Franzens Universitaet Graz,Austria,3971,784,651,600,351,741,844,314,2016
Hochschule fur nachhaltige Entwicklung Eberswalde,Germany,3969,1003,508,624,275,737,822,315,2016
King Mongkut’s Institute of Technology Ladkrabang,Thailand,3967,1105,568,750,286,689,569,316,2016
Universitas Syiah Kuala,Indonesia,3961,744,1035,648,190,858,486,317,2016
Ankara University,Turkey,3952,703,561,927,164,909,688,318,2016
Tilburg University,Netherland,3944,740,584,1350,100,651,519,319,2016
Al-Zaytoonah University of Jordan (zuj),Jordan,3938,716,461,1302,183,899,377,320,2016
Vigo University,Spain,3925,675,456,1101,150,693,850,321,2016
De La Salle University Manila,Philippines,3912,427,713,1224,696,852,0,322,2016
Don State Technical University,Russia,3905,632,661,1050,240,955,367,323,2016
Bartin Universite,Turkey,3885,1045,1070,675,200,455,440,324,2016
Birzeit University,Palestine,3880,747,744,675,650,501,563,325,2016
Hasanuddin University,Indonesia,3876,866,617,423,425,801,744,326,2016
University of Nova Gorica,Slovenia,3868,817,674,1101,230,552,494,327,2016
University of Arkansas Little Rock,USA,3867,937,556,750,305,856,463,328,2016
Dhurakij Pundit University,Thailand,3867,437,645,1152,456,556,621,329,2016
University of Bari,Italy,3862,596,831,1476,150,302,507,330,2016
University of Malta,Mexico,3842,532,883,951,370,853,253,331,2016
MacEwan College,Canada,3839,466,451,1200,275,604,843,332,2016
Universiy of Kufa,Iraq,3824,640,833,798,360,806,387,333,2016
Xavier University Ateneo de Cagayan,Philippines,3816,755,911,1050,140,400,560,334,2016
World Maritime University,Sweden,3812,425,458,1152,400,849,528,335,2016
Universita degli Studi di Perugia,Italy,3804,794,702,750,245,704,609,336,2016
Ege University,Turkey,3790,862,448,927,240,993,320,337,2016
Siberian Federal University,Russia,3775,916,386,624,145,801,903,338,2016
Universitas Negeri Medan,Indonesia,3774,686,653,1302,150,653,330,339,2016
Universidad Autonoma de Tamaulipas,Mexico,3760,561,499,699,145,778,1077,340,2016
Universita Degli Studi Di Padova,Italy,3749,687,441,1224,370,987,39,341,2016
United Arab Emirates University,Uni Arab Emirates,3746,743,243,999,275,899,587,342,2016
Inonu University Malatya,Turkey,3746,543,811,777,560,679,376,343,2016
Bilkent University,Turkey,3743,1185,312,750,230,769,497,344,2016
Universidade do Vale do Itajai,Brazil,3733,479,647,1224,290,749,344,345,2016
Valahia University Targoviste,Romania,3731,772,985,198,290,876,610,346,2016
Universidad de Puerto Rico Mayaguez,Puerto Rico,3730,860,460,624,223,735,827,347,2016
University of Kwazulu Natal,South Africa,3691,1306,448,450,230,699,558,348,2016
Pontificia Universidad Catolica de Chile,Chile,3683,803,399,750,245,655,831,349,2016
Saratov State University,Russia,3674,556,428,1026,366,763,535,350,2016
Universita degli Studi di Ferrara,Italy,3666,388,764,1074,340,684,416,351,2016
Technical University of Crete,Greece,3653,521,1094,750,90,744,454,352,2016
South Valley University,Egypt,3649,487,522,900,270,762,708,353,2016
Universitas Haluoleo,Indonesia,3646,701,575,873,195,489,813,354,2016
University of Pecsi,Hungary,3640,579,587,1275,425,622,152,355,2016
Universidad Tecnologica de Panama,Panama,3638,856,408,648,155,902,669,356,2016
Universidad Sergio Arboleda,Colombia,3634,299,585,1251,384,672,443,357,2016
Murray State University,USA,3621,893,179,1275,275,874,125,358,2016
Universitas Negeri Surabaya,Indonesia,3615,605,428,1176,360,555,491,359,2016
Babes-Bolyai University,Romania,3614,643,448,750,140,906,727,360,2016
Saint Cloud State University,USA,3605,735,476,975,249,915,255,361,2016
University of Jeddah,Saudi Arabia,3602,727,799,648,350,801,277,362,2016
Pascual Bravo University Institution,Colombia,3588,490,715,1152,390,607,234,363,2016
Duzce University,Turkey,3577,674,520,525,520,800,538,364,2016
Walailak University,Thailand,3551,840,462,975,295,610,369,365,2016
Universitas Teuku Umar,Indonesia,3547,1036,760,648,140,400,563,366,2016
Islamic University of Gaza,Palestine,3542,912,469,723,125,404,909,367,2016
Universita degli Studi Mediterranea,Italy,3538,706,890,474,30,903,535,368,2016
Tver State University,Russia,3521,717,412,825,340,853,374,369,2016
